Proverb,Translation,Wisdom/Explanation,Specific Themes,General Theme
"Ó ta ọfà sókè, ó ṣí odó bori.",He shot an arrow toward the sky and covered his head with a mortar.,"Said of a person who causes problems and goes into hiding, leaving others to suffer the consequences.",consistency honesty openness plain speaking reliability,Good person
"Obì-í bọ́ lọ́wọ́ alákẹdun ó ní òun fún ará ilẹ̀; bí kò fún ará ilẹ̀, yó sọ kalẹ̀ wá mú u?","Kola nut drops from the grip of a monkey, which says it makes a gift of the nut to ground dwellers; if it does not make a gift of it to ground dwellers, would it come down to fetch it?",One can tell when necessity is being disguised as virtue.,consistency honesty openness plain speaking reliability,Good person
Obìnrin abàlẹ̀ mẹ́fà: àlẹ̀ mẹ́fà ò mọ ara wọn.,A woman who has six lovers: the six lovers never know about one another.,Women are past mistresses of deceit.,consistency honesty openness plain speaking reliability,Good person
Obìnrin bí ọmọ fún ni kò pé kó má pa ni; obìnrin ò bí ọmọ fún ni kò pé kó má pa ni.,That a woman has had your child does not mean she cannot kill you; that a woman has not had your child does not mean she may not kill you.,Intimacy is no protection against a woman.,consistency honesty openness plain speaking reliability,Good person
Obìnrín pẹ́ lọ́jà ó fi gbójú wọlé.,A woman who tarried too long at the market returns home with a brazen face.,An offender will try to ward off criticism by first going on the offensive.,consistency honesty openness plain speaking reliability,Good person
"Obìnrin re ilé àlè, ó fi ilé ìyá rẹ̀ tan ọkọ jẹ.",A woman goes to her lover’s house and uses her mother’s home to deceive her husband.,Legitimate pursuits often serve as cover for illegitimate ones.,consistency honesty openness plain speaking reliability,Good person
"Odídẹrẹ́ ẹyẹ òkun, àlùkò ẹyẹ ọ̀sà; bí a bá jẹ́ un gbè, ká má jẹ́ un gbè.","The parrot is a bird of the sea, and the kingfisher a bird of the lagoon; even though we may forget that we once partook of the food, let us never forget what we covenanted.","However far we may roam, and however long, we should never forget promises made.",consistency honesty openness plain speaking reliability,Good person
"Òfìífìí là ń rí, a ò rí òkodoro; òkodoro ḿ bọ̀, baba gba-n-gba.","All we see is shadows, not clarity; but clarity will come, father of all openness.","The truth may be long hidden, but in the end it will emerge into the open.",consistency honesty openness plain speaking reliability,Good person
Ògèdè gb'írọ́ kìí dá ni sí yẹ̀wù; gba-n-gba ní ń dá ni sí.,An audacious lie does not trip one in one’s closet; it exposes one in a public place.,One’s transgressions are likely to catch up with one in the most embarrassing circumstances.,consistency honesty openness plain speaking reliability,Good person
Ohun tí a ò fẹ́ kéèyàn ó mọ̀ là ń ṣe lábẹ̀lẹ̀.,It is what one wishes to keep a secret that one does in private.,One who has nothing to hide should not do things in secret.,consistency honesty openness plain speaking reliability,Good person
"Ojodíè, akindíè; ìyà ní ń kó jẹ ni.",A little cowardice [or] a little bravery: all it brings one is trouble.,One should decide whether one will be bold or cowardly; inconsistency in such matters results in suffering.,consistency honesty openness plain speaking reliability,Good person
Òjò ọ̀gànjọ́ ò pa ẹni rere; bí kò pa jalè-jalè a pa yíde-yíde.,"A midnight rain does not beat a decent person; if the person it beats is not a habitual thief, he or she will be a habitual [night] wanderer.",Honest people are seldom caught in compromising positions.,consistency honesty openness plain speaking reliability,Good person
Ojú gba-n-gba là ń ta awọ gbà-ǹ-gbà.,It is out in the open that one spreads a huge skin.,A matter that is of great consequence to all should be discussed in the presence of all.,consistency honesty openness plain speaking reliability,Good person
Ojú kìí fẹ́ ní kùkú hu ibi.,"The eyes do not, because they do not see one, engage in evil against one.",Never take advantage of people’s absence to do them ill.,consistency honesty openness plain speaking reliability,Good person
Ojú lobìnrin mọ.,Women know only the face.,The only time one can rely on women is when one is present.,consistency honesty openness plain speaking reliability,Good person
Ojú l'ọ̀rọ̀ wà.,Discourse is in the eyes.,Look the person with whom one is holding a dialogue in the eyes.,consistency honesty openness plain speaking reliability,Good person
Ojú olóbì lati ń jèrè obì.,It is in the presence and with the knowledge of the kola-nut seller that one receives a gratuitous addition to one’s purchase.,"If one has a right to something, one should not take it surreptitiously.",consistency honesty openness plain speaking reliability,Good person
Ojú tó ti mọ ni ríkíì wí pé òun ò mọ ni mọ.,The eyes that used to recognize us cannot say they no longer recognize us.,"Whatever happens, one should not refuse to acknowledge one’s friends.",consistency honesty openness plain speaking reliability,Good person
"Òkété, báyìí niwà ẹ: o bá Fámulẹ́wọ̀ da Ifá.","So, giant bush rat, such is your character: you made a pact with Ifá and you betrayed Ifá.",An address to a person whom you trusted but who has betrayed you.,consistency honesty openness plain speaking reliability,Good person
"Òkété ní ọjọ́ gbogbo lòún mọ̀, òun ò mọ ọjọ́ mìíràn.",The large bush rat says it knows every day but not some other day.,"If one makes a promise, it should be firm and definite, not vague.",consistency honesty openness plain speaking reliability,Good person
Òkóbó kìí bí ọmọ sí tòsí.,The eunuch never has children close by.,The person who has something to hide will always offer outlandish explanations.,consistency honesty openness plain speaking reliability,Good person
Olófòófó ò gb'ẹgbàá; ibi ọpẹ́ ní ḿ mọ.,The tattler does not earn six pence; thanks are all he gets.,Tattling is not a profitable or appreciated habit.,consistency honesty openness plain speaking reliability,Good person
Olóòótọ́ ìlú nìkà ìlú.,The honest person in a town is the ogre of the town.,Honesty seldom makes one popular.,consistency honesty openness plain speaking reliability,Good person
Olóòótọ́ kìí sùn sípò ìkà.,The honest person will not sleep in the place prepared for the wicked person.,The honest person will in the end be vindicated.,consistency honesty openness plain speaking reliability,Good person
Òǹrorò l'ẹgbọ́n òfófó.,Lack of compassion is the elder of backbiting.,A person who lacks compassion will think nothing of spreading false news about others.,consistency honesty openness plain speaking reliability,Good person
‘‘Orí jẹ́ kí n pẹ́ méjì’’ obìnrin ò dénú.,‘‘May my head grant that I have a partner’’ as a woman’s prayer is not sincere.,People often pay lip service to concepts they do not believe in.,consistency honesty openness plain speaking reliability,Good person
Òtítọ́ d'ọjà ó kùtà; owó l'ọ́wọ́ là ń ra èké.,"Truth arrives at the market but finds no buyer; it is with ready cash, though, that people buy falsehood.",People appreciate falsehood more than truthfulness.,consistency honesty openness plain speaking reliability,Good person
Òtítọ́ kìí kú ká fi irọ́ jọba.,The truth does not die to be replaced as king by the lie.,The lie cannot match the truth in esteem.,consistency honesty openness plain speaking reliability,Good person
Òtítọ́ kìí ṣìnà; irọ́ ní ń forí gbọgbẹ́.,Truth never goes awry; it is falsehood that earns a gash on the head.,Truth will not bring misfortune; falsehood leads to trouble.,consistency honesty openness plain speaking reliability,Good person
Òtítọ́ korò; bí omi tooro ni irọ́ rí.,Truth is bitter; falsehood is like meat stew.,It is more difficult to be truthful than to lie.,consistency honesty openness plain speaking reliability,Good person
Òtítọ́ l'olórí ìwà.,Truthfulness is the chief of attributes.,There is no better attribute than truthfulness.,consistency honesty openness plain speaking reliability,Good person
Òtítọ́ ní ń tú ẹrù ìkà palẹ̀.,It is truth that unpacks the load of the wicked for all to see.,Truth will triumph over the wicked.,consistency honesty openness plain speaking reliability,Good person
Owó lobìnrin mọ.,Women care only about money.,"Whatever women do, they do only for money.",consistency honesty openness plain speaking reliability,Good person
"Ọbẹ̀-ẹ dùn, ọbẹ̀ ò dùn, iyán tán ní gbá.","The stew is delicious, the stew is not delicious; the pounded-yam meal is completely gone from the dish.",Said of people who complain about something yet will not let go of it.,consistency honesty openness plain speaking reliability,Good person
"Ọkánkán là ń ṣe ìbí; ìkọ̀kọ̀ là ń ṣe ìmúlẹ̀; bí a tójú ìmúlẹ̀ tán, ká tójú ìbí pẹlú; bí a bá kú ara ẹni ní ń sin ni.","One conducts affairs with one’s kin with forthrightness; one enters into covenants [with nonrelatives] in secret; as one attends to one’s secret compacts, one should also attend to affairs with one’s kin; on the day one dies, it is one’s kin who attend to the funeral.",Never neglect your relatives in favor of others.,consistency honesty openness plain speaking reliability,Good person
"Ọmọràn bèèrè ọ̀ràn wò; Àjàpá ní, ‘‘Ẹni tí wọ́n pa l'ánàá, ká àkú tán?’’","The sage asks for information; Àjàpá the trickster asks, ‘‘About the person who was killed yesterday, is he already dead?’’","If you know the answer to a question already, don’t ask it.",consistency honesty openness plain speaking reliability,Good person
Ọ̀nà irọ́ kìí pẹ́ pin.,The path of deceit soon ends.,Deceit is soon exposed.,consistency honesty openness plain speaking reliability,Good person
‘‘Ọ̀ràn yìí ò dùn mí’’: ẹ́ẹ̀kan ṣoṣo là ń wí i.,‘‘This matter does not hurt me’’: stating it only once suffices.,"If one is indifferent to something, it should not dominate one’s conversations.",consistency honesty openness plain speaking reliability,Good person
"Ọ̀rọ̀ ìkọ̀kọ̀, ní gba-n-gba ní ḿ bọ̀.",Secret matters have open exposure as their ultimate destination.,Whatever is done in secret will eventually be brought to light.,consistency honesty openness plain speaking reliability,Good person
Ọ̀rọ̀ ò pariwo.,The matter in question does not make a noise.,The matter under discussion poses little problem.,consistency honesty openness plain speaking reliability,Good person
Ọ̀tá ẹni kìí p'òdúyà.,One’s enemy never kills a huge cane rat.,One is always tempted to minimize the accomplishments of one’s enemies.,consistency honesty openness plain speaking reliability,Good person
Pàkìtí ṣe bí òkú wọlú; labalábá ṣe bí ẹyẹ jáko.,The coarse mat enters the town like a corpse; the butterfly enters the bush like a bird.,Said of people who appear to be what they are not.,consistency honesty openness plain speaking reliability,Good person
"Pátá-pátá là ń fọ́jú, kùmbọ̀-kumbọ̀ là ń dẹtẹ̀; ojú à-fọ́-ì-fọ́-tán ijà ní ń dá sílẹ̀.","One’s blindness should be absolute, and one’s leprosy should pervade the whole body; half-blindness only brings dissension.","One’s condition should be definite, not ambiguous or undetermined.",consistency honesty openness plain speaking reliability,Good person
Pátá-pátá l'eégún ń fa aṣọ bori.,It is completely that the masquerader covers his head with his shroud.,One must be thoroughgoing in whatever one does.,consistency honesty openness plain speaking reliability,Good person
"Pẹhìn dà kí orí ṣe èké, fara pamọ́ kí o rí bí aṣẹni ti ń sọ.","Turn your back, and you will discover how the deceitful person behaves; hide, and you will find out what the detractor is saying.","If one could surprise them, one would discover the true nature of one’s enemies.",consistency honesty openness plain speaking reliability,Good person
Pípọn ni yìí idẹ; ẹjẹ̀ ni yìí oògun.,Redness is the glory of brass; efficaciousness is the glory of medicine.,Truth to one’s nature and fulfillment of one’s obligations are the determinants of one’s worth.,consistency honesty openness plain speaking reliability,Good person
Pọ̀ǹgbà-pọ̀ngba là ń bá odi.,Firmly planted and unshakable is the way one finds the city fortification.,An injunction to be firm and unshakable.,consistency honesty openness plain speaking reliability,Good person
"Purọ́ kó o ní yìí; bí a bá já ni tán, ẹ̀tẹ́ ní ń dà.","Lie and become renowned; once you have been found out, the result is disgrace.",The glory that results from deceit does not last.,consistency honesty openness plain speaking reliability,Good person
Rìkíṣí pa wọn pọ̀ wọn d'ọ̀rẹ́; kò lọ jọ kò lóṣù rọ̀bàjẹ́.,"Intrigue brought them together and they became friends; it did not take days, let alone months, before the friendship ended.",People united in friendship by intrigue soon become enemies.,consistency honesty openness plain speaking reliability,Good person
"Rìkíṣí pin, alábòsí lọ.","When the intrigue is terminated, the devious person takes his leave.","When the intrigue is exposed, the career of the devious person is over.",consistency honesty openness plain speaking reliability,Good person
Sàráà baba ẹbọ.,Alms are the ultimate sacrifice.,It is blessed to give alms.,consistency honesty openness plain speaking reliability,Good person
Ṣìgìdì ò lẹ́nu fọhùn; irọ́ ń purọ́ fún irọ́.,The earthen idol has no mouth to speak; lies are lying to lies.,"One should not be fooled by people who, for example, offer to reveal one’s future.",consistency honesty openness plain speaking reliability,Good person
"Ṣìgìdì tí ò sọ̀rọ̀, a ò m'ẹni tí ń gbè.","[Since] the earthen idol does not speak, no one knows whose side it is on.",No one can ascribe any position to a person who is cagey.,consistency honesty openness plain speaking reliability,Good person
"Ta là bá rí bá wí bí ẹni fọmọ fọ́kọ lóru, tí ò jẹ́ kí ilẹ̀ mọ́?","Whom should one blame, if not the person who delivered a child to a husband in the middle of the night without waiting until daylight?",The person to blame in the event of a preventable problem is the one whose thoughtless action causes it.,consistency honesty openness plain speaking reliability,Good person
Ta ladomisí lára? Ta l'òrìṣà ń gùn?,Who is the one on whom water was poured? Who is the one being mounted by the god?,The person receiving all the attention cannot pretend not to be the one in need of attention.,consistency honesty openness plain speaking reliability,Good person
Ta l'eṣinṣin ìbá gbè bí kò ṣe elégbò?,Who else will the flies flock after if not the person with open sores?,Opportunistic people can be expected to stick with those who offer them the most benefits.,consistency honesty openness plain speaking reliability,Good person
Ta ló dè ọ́ tí ò ń kakọ?,Who has tied you down and thus forced you to confess your guilt?,Said to stop the mouths of people who protest too much as a result of a guilty conscience.,consistency honesty openness plain speaking reliability,Good person
Taní ń ṣoògùn lódò tí lábẹlábẹ ò gbọ́?,Who is concocting a medicine by the river about which the lábẹlábẹ plant is ignorant?,Trying to keep someone in the dark about a matter is futile.,consistency honesty openness plain speaking reliability,Good person
‘‘Wá jẹun.’’ ‘‘N ò jẹ.’’ Ó fọgọ́rùn-ún òkèlè tọbẹ̀ wò.,"‘‘Come join me at my meal.’’ ‘‘Thank you, but no.’’ Still he eats a hundred mouthfuls, just to taste the stew.","If you intend to decline an invitation, match your action to your words.",consistency honesty openness plain speaking reliability,Good person
"Wọ́n ní, ‘‘Àwòko, o bú ọba.’’ Ó ní ìgbà wo lòún ráyè bú ọba, kóun tó kọ igba lówùúrọ̀, igba lọ́sàn-án, igba lálẹ́, kóun tó fi ayìn dà-yìn dà lù ú?","They said, ‘‘Mockingbird, you are accused of insulting the king.’’ It asked, when would it have time to insult the king, seeing that it must sing two hundred songs in the morning, two hundred in the afternoon, and two hundred at night, mixing it all up with some frolicsome notes?",The person in trouble will resort to ludicrous alibis to escape punishment.,consistency honesty openness plain speaking reliability,Good person
"Wọ́n ní ká rù gbogbo ọmọ pọ́n, ó ní ṣe bí wọ́n mọ̀ pé òun ò léhín; wọ́n ní kó pa ọmọ jẹ ni?","The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child?",Said of people whose comment on a proposition is wildly irrelevant.,consistency honesty openness plain speaking reliability,Good person
Adigàárì sílẹ̀ ewúrẹ́ ń yọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",Goats that know their place do not offer their backs to be saddled. This is a variant of 4.,humility self-control self-knowledge self-respect self-restaint,Good person
A ﬁ j’ọba ò ń ṣ’àwúre; o ﬁ ọ̀fẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",Being crowned a king is about the best fortune a mortal could hope for.,humility self-control self-knowledge self-respect self-restaint,Good person
"A ﬁ jó gba Awà; a ﬁ ìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà [a woman’s name]; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",Why make a huge production of a matter that is easily taken care of?,humility self-control self-knowledge self-respect self-restaint,Good person
A gb’égàárì ọmọ ewúrẹ́ ń rojú; kìí ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,"The goat has no cause to scowl, because no one will condescend to ride it anyway. This is a variant of 1.",humility self-control self-knowledge self-respect self-restaint,Good person
A kìí bá ọba p’àlà kí ọkọ́ ọba máa ṣán ni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One should be cautious in dealing with people in authority. Compare 1354.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One should not be more concerned with saving oneself than with saving one’s dependents.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí bínú ààtàn ká da ilẹ̀ sígbẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One should not act in unreasonable and harmful ways because of anger.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí bínú orí ká ﬁ ﬁlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,Do not cut off your nose to spite your face.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí bọ òrìṣà lójú ọfọ́n-ọfọ́n; bó bá dalẹ̀ a máa tú pẹpẹ.,"One does not sacrifice to a god in the presence of a house rat; otherwise, when night falls it invades the rafter shelves.",Do not do things that might constitute temptation to others.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí dàgbà má lààyà; ibi ayé bá bá ni là ń jẹ́ ẹ̀.,One does not become an adult and yet lack courage; one lives life as it finds one.,One should do what is fitting for one’s station in life.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí dá ọwọ́ lé ohun tí a ò lè gbé.,One does not lay hands on a load one cannot lift.,One should not overreach.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí dájọ́ orò ká yẹ́ ẹ̀.,One does not set the day for an orò rite and then ignore it.,One must not let important matters slide.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí dákẹ́ ká ṣì wí; a kìí wò sùn-ùn ká dáràn.,One does not keep quiet and yet misspeak; one does not silently contemplate the world and yet get into trouble.,A careful and cautious person seldom gets into trouble.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí dé Màròkò kó sìn ẹlẹ́jọ́.,One does not arrive at Màròkò ahead of the litigant.,One should not take charge of other people’s business.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí ﬁ gbèsè sọrùn ṣọ̀ṣọ́.,One does not carry debt around one’s neck and live like a dandy.,One should discharge one’s obligations before indulging in extravagance.,humility self-control self-knowledge self-respect self-restaint,Good person
"A kìí ﬁ ìka r’oetí, ká ﬁ r’imú, ká wá tún ﬁ ta ehín.","One does not use one’s finger to clean one’s ear passages, use it to pick one’s nose, and then use it to pick one’s teeth.",One should always behave with decorum.,humility self-control self-knowledge self-respect self-restaint,Good person
"A kìí ﬁ orí wé orí i Mo kú ṣiré; bí Mokú kú láàárọ̀, a jí lálejọ́.","One does not liken one’s fortune to Mokúṣiré’s; if Mokú dies in the morning, he resurrects at night.",Never emulate people who know tricks you don’t.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí ﬁ pàtàkì bẹ̀lùbọ́; ẹní bá ní ṣu ló ḿ bẹ̀ ẹ́.,One does not come by yam flour because of one’s importance; only people who have yams can make yam flour.,One cannot eat importance.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí ﬁ ni j’oyè àwòdì ká má lè gb’ádìẹ.,One cannot be given the title ‘‘eagle’’ and yet be incapable of snatching chickens.,One should be able to live up to expectations.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí gbé s’àráà kọjá-a mọ́ṣáláṣí.,One does not carry alms beyond the mosque.,Excess brings disgrace.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí gbọ́ ‘‘Lùú’’ lẹ́nu àgbà.,One never hears ‘‘Beat him or her up’’ in the mouth of an elder.,Elders resolve disputes; they do not goad disputants on.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí gbọ́n ju ẹni tí a máa dÍfá fún.,One cannot be wiser than the person for whom one will consult the Ifá oracle.,It is better to listen to the supplicant rather than put words in his or her mouth. Compare the two following entries.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí gbọ́n tó Báyìí-ni-ngó-ṣe-ǹkan-àn-mi.,One cannot be as wise as ‘‘Thus-will-I-do-my-thing.’’,Never impose your preferences on other people in their own affairs. Compare the following two entries.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí gbọ́n tó ‘‘Èmi-lóni-í.’’,One cannot be as wise as ‘‘I-am-the-owner.’’,One should not presume to know as much about a thing as the owner of it. Compare the foregoing and following entries.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí gbọ́n tó ẹni tí ń tan ni jẹ.,One is never as wise as the person deceiving one.,The deceiver always has the advantage of the dupe. Compare the preceding two entries.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí j’ayé ọba ká ṣu s’ára.,One does not so luxuriate in one’s majesty that one shits on oneself.,Lack of moderation and decorum will bring disgrace to even the most elevated person.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí jẹ oyè ẹnu ọ̀nà k’alẹ̀.,One does not bear the title of gatekeeper even until nighttime.,"As one advances in age, so should one’s responsibilities advance in gravity and importance.",humility self-control self-knowledge self-respect self-restaint,Good person
A kìí kó èlé ṣẹ̀ṣọ́.,One does not live fashionably on borrowed money.,Live within your means.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí kórira ọfọ́n-ọfọ́n ká ﬁ nábọ ahéré.,One does not so hate the bush rat that one sets one’s farm hut alight.,One should not destroy oneself simply to get at one’s enemy.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí kọ́ àgbàlagbà pé bó bá rún kó rún.,One does not teach an elder that what has been crushed should remain crushed.,An elder should know when a matter should end.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí kọ ẹlẹ́ṣin ká tún lọ fẹ́ ẹlẹ́sẹ̀.,One does not divorce a horse rider and go marry a pedestrian.,"One should ever progress, never regress.",humility self-control self-knowledge self-respect self-restaint,Good person
A kìí lé èkúté ilé ẹni ká f’ọwọ́ ṣẹ́.,One does not shoo the mouse in one’s house and break one’s hand.,One should be safe from hazards in one’s own home.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí m’egbò fúnra ẹni ká sunkún.,One does not treat one’s own sore and yet cry from the pain.,One should know one’s own pain threshold.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí mọ ìyá Òjó ju Òjó lọ.,One does not presume to know Òjó’s mother better than Òjó himself does.,Never claim to know a thing better than the people closest to it. Compare the next entry.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí mọ ọ̀nà ọgbà ju ológbà lọ; ẹní mú ni wá là ń tẹ̀lé.,Do not presume to know the way to or around a garden better than the owner of the garden; always follow the person who brought you.,Never presume to have a better knowledge of a matter than has the person most intimately involved. Compare the preceding entry.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí mọ́ọ̀rò bí ẹlẹ́jọ́.,One never knows how to present it like the owner of the case.,No one can know better than the person himself or herself where it hurts most and what relief is needed.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí mú oko lọ́nà ká ṣ’èmẹ́lẹ́; t’ajá t’eran ní ḿ bú ni.,One does not farm a plot by the road and neglect its care; every dog and goat would ridicule one.,Never expose yourself to insult by behaving badly in public view.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí ní agbára kékeré ṣe èkejì.,One does not offer to second a combatant in spite of one’s negligible strength.,Never attempt more than you have the power to accomplish.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí ní ọkánjúwà ká mọ̀; ará ilé ẹni ní ń sọ fún ni.,One does not know that one has covetousness; it is one’s kin who so inform one.,"Often, only those close to one can recognize and point out one’s flaws.",humility self-control self-knowledge self-respect self-restaint,Good person
A kìí pe ìyàwó kó kan alárẹnà.,One does not summon the wife and so involve the go-between.,People should mind their own business.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí pe ni l’ákọ ẹran ká ṣ’orí bòró.,One does not enjoy the designation ‘‘He Goat’’ and yet sport a smooth [hornless] head.,A person should live up to his or her billing.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí pẹlú ọbọ jáko.,One does not join a monkey in roaming the bush.,Do not join others in their madness.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí síwájú ẹlẹ́ẹ̀dẹ́.,"One does not conclude for the person who says, ‘‘Ẹẹ̀dẹ́... ’’",Never presume to know what someone else intends to say.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí yàgò fún ẹlẹ́ṣin aná.,One does not get out of the way for a person who rode a horse yesterday.,Past glory avails little in the present.,humility self-control self-knowledge self-respect self-restaint,Good person
A kìí yàgò fún ‘‘Mo gun ẹṣin rí o!’’,One does not get out of the way for ‘‘I used to ride a horse!’’,People should not expect to live on past glory. The preceding entry is a variant.,humility self-control self-knowledge self-respect self-restaint,Good person
Alé ṣu sílẹ̀ páǹdọ̀rọ̀-ọ́ jálùú; ẹ̀lẹ́mbẹ̀ ni?,"We group yams in lots, and the fruit of the sausage tree drops among them; does it count as complement to a lot, or as gratuity?","The fruit might look something like a yam, but it does not belong with yams.",humility self-control self-knowledge self-respect self-restaint,Good person
"À ḿ bá ni mú adìẹ à ń forúnkún bọ́; bó wọ́nbá b’òkókó, a ò ní fún aládìẹ?","One helps to catch a chicken and scrapes one’s knees; having laid hands on the chick, will one not hand it over to the owner?","One should not be overzealous in helping others, especially when no benefit will accrue to one from the effort.",humility self-control self-knowledge self-respect self-restaint,Good person
"À ḿ bẹ̀rù alájà, ajá ṣe bí òun là ḿ bẹ̀rù.","One shows deference to the dog’s owner, and the dog thinks the deference is to it.","A person who has a powerful patron mistakenly believes that the respect he enjoys from others is due to his or her own qualities, whereas it is reflected from the patron.",humility self-control self-knowledge self-respect self-restaint,Good person
"À ń gé e lọ́wọ́, ó ḿ bọ òrùka.","His hand is being severed, yet he is slipping on a ring.","The person has been judged undeserving of a hand; it is an affront, therefore, for him or her to adorn the fingers—an indication of heedlessness.",humility self-control self-knowledge self-respect self-restaint,Good person
"A ní ká wá ẹni tó l’ẹ́hìn ká f’ọmọ fún, abuké ní òun rèé; ti gànnà kù ẹ̀hìn-in rọ̀ là ń wí?","One seeks a person with a prominent back as suitor for one’s daughter, and the humpback presents himself; who spoke of protruding back?",Since the expression that translates as ‘‘prominent back’’ is an idiom meaning a proud pedigree. the humpback makes a rather embarrassing mistake. Compare 55.,humility self-control self-knowledge self-respect self-restaint,Good person
"Aní Tanlúkú ò mọ́-ọ́ jó, Tàǹlukú wá gbèé lẹ́sẹ̀","People say that Tanlúkú is a poor dancer, and Tanlùkù comes to his aid",A person who is as helpless as the person in trouble should not offer to rescue him/her.,humility self-control self-knowledge self-respect self-restaint,Good person
"Àńjá ìbàǹtẹ́ẹ̀ lẹ́hìn, ó ńjá tará iwájú","His loincloth is being stripped from behind, yet he is stripping those of the people ahead of him",Attacks on him do not stop him from belaboring his enemies.,humility self-control self-knowledge self-respect self-restaint,Good person
"Àńsọ̀rọ̀ olè, aboyún ńdáhùn; odiidi èèyàn ló gbépamọ́","We speak of stealing, and a pregnant woman intervenes; she herself is concealing a whole person",Her condition makes her guilty of concealment.,humility self-control self-knowledge self-respect self-restaint,Good person
"Àńsunkún Awúgbó, Awúgbó ò sunkún ara-aẹ̀",We lament Awúgbó’s plight; Awúgbó does not lament his own plight,The person the proverb is aimed at is too daft to realize his or her sorry plight.,humility self-control self-knowledge self-respect self-restaint,Good person
"Àńwá ẹni tí a ó fọmọ fún, olòṣì ńyọjú","We seek a person to give a child to [in marriage], and a worthless person presents himself",People should know their place and not overrate themselves.,humility self-control self-knowledge self-respect self-restaint,Good person
"Àńwọ́n ààti fi aṣiwèrè sílẹ̀, ó ní bí abádé òkè odò ká dúró de òun","People are scheming to shake an imbecile from their company, and he asks that they wait for him on reaching the bank of the river","If people are seeking ways of getting rid of a person, that person should not lay down his conditions for remaining with them.",humility self-control self-knowledge self-respect self-restaint,Good person
A ò lóbìnrin àńdá oóyọ́ sí; bí abádá oóyọ́ sí ewúrẹ̀ ni yó jẹ̀,"Without having a wife, a person spares oóyọ́ to grow; if it flourishes, it is destined to be food for goats","The vegetable is used in stews, and stews are for wives to cook.",humility self-control self-knowledge self-respect self-restaint,Good person
A ò mọ ohun tí Dárò ó ní kótó wípé olè-é kó òun,One does not know what Dárò owned before he claimed to have been robbed,The poor person conveniently blames his poverty on thieves.,humility self-control self-knowledge self-respect self-restaint,Good person
A ò mọ ohun tí eléwé egbégbé ńtà kótó sọ pé ọjà ò tà,One does not know what the seller of gbégbé leaves was selling before she started complaining about the slow market,The seller of goods nobody wants blames her fortune on the slow market.,humility self-control self-knowledge self-respect self-restaint,Good person
